id;year;month;week;day;hour;source;type;event;date
1;16607;57395;29198;80732;57732;Towels Oregon Denar;navigate calculate;Tenge port Cheese;2018-06-14T23:26:09
2;12976;51560;37104;11044;8269;Keyboard;Fantastic Granite Pants Concrete Salad;Rhode Island systems;2018-06-14T22:38:45
3;83701;30057;61232;34297;64830;parse deposit Singapore Dollar;Isle invoice;Operations;2018-06-15T09:58:41
4;17002;17819;82441;63546;20542;Small;Handmade Hong Kong Dollar indexing;payment;2018-06-15T08:09:13
5;64010;52650;33648;67775;76771;Refined Fresh Hat Samoa;Concrete XML;cross-platform B2B;2018-06-14T16:35:24
6;61180;69253;98475;67234;15772;Electronics GB;model;plum open-source Integration;2018-06-15T00:30:45
7;64894;34347;73161;77560;45537;deposit Planner parse;Refined Fresh Sausages card;Ferry Tasty Fresh Hat;2018-06-15T03:49:24
8;29310;79083;59308;24518;89507;Borders Cotton Village;syndicate;Tasty;2018-06-14T14:38:54
9;50644;73083;45907;62313;47234;users turquoise;PCI green;West Virginia Solomon Islands;2018-06-15T03:02:56
10;83082;52222;1982;69360;38448;Practical Plastic Towels;sky blue;attitude enable;2018-06-15T12:18:59
