id;name;shared;shared_link;user_id;configuration
1;Producer Island Group;true;quantifying yellow Buckinghamshire;Ball Seychelles Rupee;../fake-data/blob/hipster.txt
2;Kuwaiti Dinar Arkansas;true;Assistant;toolset Bedfordshire Gorgeous;../fake-data/blob/hipster.txt
3;Drive;true;Frozen Yemen;black;../fake-data/blob/hipster.txt
4;Berkshire hard drive alarm;true;invoice Awesome;payment deliverables Towels;../fake-data/blob/hipster.txt
5;Steel mint green pink;true;microchip JBOD;withdrawal Infrastructure red;../fake-data/blob/hipster.txt
6;heuristic calculating;true;SMTP;Factors Developer;../fake-data/blob/hipster.txt
7;alarm Orchestrator;true;partnerships North Carolina Canada;Virgin Islands, U.S.;../fake-data/blob/hipster.txt
8;even-keeled Handmade Fresh Pants;true;driver transmit;revolutionary;../fake-data/blob/hipster.txt
9;users;false;high-level;solutions;../fake-data/blob/hipster.txt
10;overriding Liaison Salad;true;Bahraini Dinar visionary Savings Account;Agent;../fake-data/blob/hipster.txt
